MEAN,STD,SUM,FORMACION,Value,ColorCode,USO
1.67204021716,0.942932619074,23.4085630402,Matorral esclerofilo,6,#c6b044,Shrublands
1.40631145239,0.275110781193,2.81262290478,Matorral esclerofilo,7,#c6b044,Shrublands
1.80115270615,0,1.80115270615,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.33678197861,0,2.33678197861,Matorral esclerofilo,6,#c6b044,Shrublands
2.4006631289199998,0.631816765121,50.4139257073,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
0.659434497356,0,0.659434497356,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
0.0844645760953,0.0125109386336,0.337858304381,Matorral esclerofilo,20,#5E5502,Exotic forests
2.17726790905,0.379230760633,21.7726790905,Matorral esclerofilo,6,#c6b044,Shrublands
0.669341623783,0,0.669341623783,Matorral esclerofilo,6,#c6b044,Shrublands
1.84862732887,0,1.84862732887,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.71665273394,0.711650076908,19.0165691376,Matorral esclerofilo,6,#c6b044,Shrublands
1.75347966287,1.08002099725,15.7813169658,Matorral esclerofilo,7,#c6b044,Shrublands
2.72048914433,0.678841948509,5.44097828865,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
6.83566125234,1.60291749868,20.506983757,Bosque esclerofilo,7,#c6b044,Shrublands
0.33825566868,0.0858532512639,1.01476700604,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.53990749518,1.43992961536,27.2394449711,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.25312423706,0,1.25312423706,Bosque esclerofilo,7,#c6b044,Shrublands
4.96682262421,0,4.96682262421,Bosque esclerofilo,7,#c6b044,Shrublands
1.10130734014,0.741344403119,23.127454143,Matorral esclerofilo,7,#c6b044,Shrublands
0.269031296174,0.13522389227,0.807093888521,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.69881212711,0.564465633763,10.7952485085,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
